discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code,games_participations,first_game,athlete_year_birth,athlete_medals,bio
Rowing,athens-2004,double sculls 2x women,Women,GOLD,GameTeam,New Zealand team,https://olympics.com/en/athletes/georgina-evers-swindell,Georgina EVERS-SWINDELL,New Zealand,NZ,NZL,2.0,Athens 2004,1978.0,"


2

G

","


Georgina Evers-Swindell and her twin sister Caroline were among the most dominant scullers in the first decade of the 21st century, winning world titles and becoming the first women’s double scull pairing to successfully defend an Olympic title. They first made their marks in 2001 when they won silver medals in the double and quadruple sculls at the World Championships in Lucerne. They won the double sculls title at the following two World Championships, in Seville and Milan, and added the Olympic title in 2004. In 2005, they again won the world title and were named Rowing Female Crew of the Year by FISA, the international rowing federation. They were second at the 2007 World Championships in München but retained their Olympic title the following year. The twins announced their retirement late in 2008. In January 2009, Georgina married Sam Earl, himself a New Zealand rower and son of Athol “Joe” Earl, a member of the winning eight at the Olympic Games in München in 1972.





"
Rowing,athens-2004,double sculls 2x women,Women,GOLD,GameTeam,New Zealand team,https://olympics.com/en/athletes/caroline-evers-swindell,Caroline EVERS-SWINDELL,New Zealand,NZ,NZL,2.0,Athens 2004,1978.0,"


2

G

","


Caroline Evers-Swindell and her twin sister Georgina were among the most dominant scullers in the first decade of the 21st century, winning world titles and becoming the first women’s double scull pairing to successfully defend an Olympic title. They first made their marks in 2001 when they won silver medals in the double and quadruple sculls at the World Championships in Lucerne. They won the double sculls title at the following two World Championships, in Seville and Milan, and added the Olympic title in 2004. In 2005, they again won the world title and were named Rowing Female Crew of the Year by FISA, the international rowing federation. They were second at the 2007 World Championships in München but retained their Olympic title the following year. The twins announced their retirement late in 2008. In December 2009, Caroline married Carl Meyer, who had competed in the coxless four in Athens and Beijing, and she is now known as Caroline Meyer.





"
Rowing,athens-2004,double sculls 2x women,Women,BRONZE,GameTeam,Great Britain team,https://olympics.com/en/athletes/elise-laverick,Elise LAVERICK,Great Britain,GB,GBR,3.0,Sydney 2000,1975.0,"


2

B

","


Elise Laverick originally planned to be a professional musician and studied at the famed Guildhall School of Music and Drama in London. She is highly skilled at both violin and double bass. Encouraged by her mother, a former international rower, she began to row at the age of 17.


By 1997 she had developed enough to become part of the national eight and was a bronze medallist with that crew at her first appearance in a world championship. She regularly switched boat classes until 2004 when she formed a partnership with [Sarah Winckless] in the double sculls. The highlight of this partnership came at the Olympic Games where they overhauled a Chines pair in the closing stages to win a bronze medal. A few weeks later she suffered a setback whilst riding her bicycle in London. She suffered a broken hip, fractured hand and facial damage when she was knocked off her bicycle by a hit-and-run driver.  After several operations she returned to rowing six months later.


Eighteen months before the Athens Olympics she formed a new partnership with Anna Bebington which gave Laverick the second world medal of her career, another bronze, at the championships in Germany. At the 2008 Olympics the pairing figured in one of the closest races of the regatta when they finished third but less than a quarter of a second behind the New Zealand champions. She retired after the Games and began training to be a solicitor.





"
Table Tennis,athens-2004,doubles women,Women,GOLD,GameTeam,People's Republic of China team #1,https://olympics.com/en/athletes/nan-wang-5,Nan WANG,People's Republic of China,CN,CHN,3.0,Sydney 2000,1978.0,"


4

G



1

S

","


Just three table tennis players have managed to win four Olympic gold medals, Deng Yaping, Zhang Yining and Wang Nan. These three have dominated women’s table tennis for successive periods, with Wang succeeding Deng, and Zhang replacing Wang at the top of the pantheon. Wang Nan was ranked number one in the world for almost four years between 1999 and 2002, and she won all the major titles in that period, including the singles and doubles title at the 2000 Olympics. At the next two Olympics, she won two more golds, in the doubles event (with Zhang) and the 2008 team event. In singles, she was defeated in the 2004 quarter-finals, and in the 2008 final, losing out to Zhang. At the World Championships Wang has won no less than 15 titles, three in singles, five in doubles, six in the team event, and one in mixed doubles. Wang ended her career after the Beijing Olympics, at which point she had already been enshrined in the International Table Tennis Federation (ITTF) Hall of Fame for several years.





"
Table Tennis,athens-2004,doubles women,Women,GOLD,GameTeam,People's Republic of China team #1,https://olympics.com/en/athletes/yining-zhang,Yining ZHANG,People's Republic of China,CN,CHN,2.0,Athens 2004,1981.0,"


4

G

","


Zhang Yining was the most dominant female table tennis player of the first decade of the 21st century. Not only did she earn 10 world titles – singles (2005, 2009), doubles (2003, 2005, 2007) and team (2000, 2001, 2004, 2006, 2008) – she also won four Olympic titles, winning the singles and doubles in Athens 2004, and the singles and team competitions in front of a home crowd at Beijing 2008. Underlining her dominance, Zhang is also a four-time winner of the World Cup, and has won the Pro Tour Grand Final on six occasions. She was ranked first on the International Table Tennis Federation (ITTF) World Ranking from January 2003 through November 2009, only dropping to second during two months in 2008. She began a career-break after her marriage in 2009, but plans to return in London for two more gold medals.





"
Table Tennis,athens-2004,doubles women,Women,BRONZE,GameTeam,People's Republic of China team #2,https://olympics.com/en/athletes/yue-guo,Yue GUO,People's Republic of China,CN,CHN,3.0,Athens 2004,1988.0,"


2

G



2

B

","


As the reigning World Champion Guo Yue went into the Beijing Olympics, hoping to confirm that result with Olympic gold. Already having a bronze in her kitty from Athens 2004, she faced her formidable compatriot Wang Nan in the semi-finals, and bowed out 4-2. She did recover to win the bronze to make for an all-Chinese podium behind Zhang Yining and Wang. Together with them, she also made up the Chinese team, and earned a gold medal without a single match loss. Between 2003 and 2001, Guo has earned 17 medals in World Championships. These include gold medals in all four disciplines\: singles (2007), doubles (2009, 2011, 2013), mixed doubles (2005, 2007) and team (2004, 2006, 2008, 2012).





"
Table Tennis,athens-2004,doubles men,Men,GOLD,GameTeam,People's Republic of China team #1,https://olympics.com/en/athletes/lin-ma-1,Lin MA,People's Republic of China,CN,CHN,2.0,Athens 2004,1980.0,"


3

G

","


One of the major powers of men’s table tennis in the first decade of the 21st century, Ma Lin only lacks a world title in singles. He did become the first player ever to win Olympic gold in the singles (2008), doubles (2004) and team event (2008), and will likely remain so, with the doubles event being discontinued. Ma Lin can also claim 18 medals from World Championships, including golds in the mixed doubles (1999, 2003), doubles (2007) and team (2001, 2004, 2006, 2008, 2010). The singles title has eluded him, finishing runner-up three times, and being losing semi-finalist on two more occasions. He has been more successful in the World Cup, winning that event four times (2000, 2003-4, 2006). Additionally, he has claimed 9 medals from the Asian Games, and 8 from Asian Championships.





"
Cycling Track,athens-2004,Madison men,Men,SILVER,GameTeam,Switzerland team,https://olympics.com/en/athletes/bruno-risi,Bruno RISI,Switzerland,CH,SUI,5.0,Seoul 1988,1968.0,"


1

S

","


Bruno Risi is one of the all-time six-days racing greats, having won 61 events between 1992 and 2010, most of his wins with Kurt Betschaert or Franco Marvulli as his partner. Betschaert and Risi collected 37 wins together, making them the most successful couple in six-day history. Risi also applied his experience in the points race and Madison competitions outside six-days events, and with success. He won five world titles in the points race (1991-amateur, 1992, 1994, 1999 and 2001), and two in the Madison (2003, 2007 – both with Marvulli), adding three more medals in other years. At the 2004 Olympics, Marvulli and Risi also placed second in the Madison.





"
Cycling Track,athens-2004,Madison men,Men,BRONZE,GameTeam,Great Britain team,https://olympics.com/en/athletes/rob-hayles,Rob HAYLES,Great Britain,GB,GBR,3.0,Atlanta 1996,1973.0,"


1

S



1

B

","


14693   Rob Hayles  (M-GBR-CYC / 1996)The son of a sprint cyclist turned coach; Rob Hayles worked at a brewery at the time he made the shortlist for the British team for the Barcelona Olympic Games. Although he eventually missed selection for the team pursuit he had established himself as a rising star and in 1993 won the national title in the kilometre time trial. This was the first of what would become fifteen national track titles in four separate disciplines, the kilometre, individual pursuit, madison and points race. After an inauspicious Olympic début in 1996 he suffered ill luck at the Sydney Games missing a medal in the individual pursuit then being brought down in a multi-rider crash whilst in second place in the Madison. Later in 2000 he won his first world championship medals on home boards in Manchester. For the next three years he concentrated on road racing and signed to ride for the French Cofidis team but a serious car crash in which he suffered a triple fracture of the pelvis impeded his progress and his only performance of note during his three seasons with Cofidis was a second place at the British Road Race Championships in 2002. At the end of 2003 he returned to the track and rejoined the British pursuit team to place second at the World Championships. This feat was repeated at the Athens Olympics and he also partnered [Bradley Wiggins] to bronze in the Madison. 


His two world title victories were both recorded in 2005. A win as part of the team pursuit was not unexpected but his victory in the Madison alongside a precocious teenager called Mark Cavendish was a major surprise. The success continued in 2006 with appearances on the podium at the Commonwealth Games and Track World Championship but this proved to be the high point of his career. Suspended from the 2008 World Championship due to a high haematocrit level, he was overlooked for the Beijing Olympics and retired from the track at the end of the year though he did have of the satisfaction of being crowned British road race champion during the summer.


Hayles continued to race in British domestic road racing for a further three seasons until announcing his retirement in 2011. By then he had also begun a career as a television and radio commentator. He is married to former Olympic swimmer Vicki Horner.





"
Cycling Track,athens-2004,Madison men,Men,BRONZE,GameTeam,Great Britain team,https://olympics.com/en/athletes/bradley-wiggins,Bradley WIGGINS,Great Britain,GB,GBR,5.0,Sydney 2000,1980.0,"


5

G



1

S



2

B

","


Excelling on road and track, Bradley Wiggins is Great Britain’s most decorated Olympian with eight medals, just ahead of fellow cyclists Chris Hoy and Jason Kenny. Wiggins stepped up to the podium at every Olympic Games from Sydney 2000 to Rio 2016, collecting five golds along the way. 


Big ambitions


Born in Ghent (BEL), Bradley Wiggins is the son of late Australian cyclist Gary Wiggins, a successful six-day racer in the 1970s and 80s. Wiggins Jr moved to London with his British mother, Linda, when he was a boy and took up cycling, inspired by the sight of Chris Boardman winning individual pursuit gold at Barcelona 1992. Wiggins, who competed in his first race at the age of 12, was so convinced of his abilities that he told one of his teachers: “I'm going to be Olympic champion. I'm going to wear the yellow jersey in the Tour de France.”


A first Olympic medal


The ambitious young cyclist, who would later be mentored by Boardman, honed his skills at the Herne Hill Velodrome in London, which had been built for the 1948 Olympic Games, and specialised in the madison and the pursuit, an event in which he won the 1998 world junior title, at the age of 18. He then got his first taste of the Olympics at Sydney 2000, where he collected bronze in the team pursuit.


A prophesy fulfilled


Wiggins turned professional in 2001, riding for Française des Jeux and Crédit Agricole. Making his second Olympic appearance at Athens 2004, he proved himself a worthy successor to Boardman by winning a total of three medals: gold in the individual pursuit, silver in the team pursuit and bronze in the madison. Following the Games, Wiggins decided to switch to the road, only to return to the track to win individual and team pursuit world titles in Palma de Mallorca (ESP) in 2007. A year later he appeared at his third Games in Beijing, where he became the first rider ever to retain the individual pursuit title. He went on to win the team pursuit crown, with the GB four beating Denmark by 6.7 seconds in the gold medal match and setting a new world record of 3:53.314 in the process. Now the proud owner of six Olympic medals, three of them gold, Wiggins had pulled level with Steve Redgrave as his country’s most successful Olympian of all time.


Taking on the Tour 


Turning his attention back to the road, Wiggins came close to Tour de France glory in 2009, taking third place on the podium. He was not so fortunate in the 2011 race, when he had to retire after breaking a collarbone. The following year would be an entirely different story for the British rider, however, as he tasted both Tour and Olympic glory in the space of a few short weeks.


Annus mirabilis 


After donning the yellow shirt for the first time on stage seven of the 2012 Tour de France, Wiggins stayed in it all the way to the finish line on the Champs Elysées, becoming the first British cyclist ever to win the great event. That rare achievement made “Wiggo” as much of a hero with French cycling fans as it did with his compatriots. Famed for his dry wit, Wiggins then achieved a piece of sporting history a few weeks later at London 2012, where he took the honours in the individual time trial to become the first man to win the Tour de France and Olympic gold in the same year.


Speaking after his magnificent victory on home tarmac, achieved by a margin of 42 seconds from Germany’s Tony Martin, Wiggins said: “It's been an amazing six weeks. This was the plan. I've answered all the questions in the last six weeks.”


More gold in Rio


After being crowned a world road time trial champion for the first time in Ponferrada (ESP) in 2014, Wiggins then went back to the track with the aim of contesting his fifth Games at Rio 2016. His preparations included a successful attempt at the world hour record at the Lee Valley VeloPark in June 2015, with the British legend riding a new best of 54.526km. A seventh track world title – in the madison with Mark Cavendish – then came his way at the same venue in March 2016, and was followed by selection for the Olympic team pursuit in Rio. The British quartet of Ed Clancy, Steven Burke, Owain Doull and the 36-year-old Wiggins kicked off by setting a new world record of 3:50.570 in the first round before going for gold against a determined Australian four in the final. Though the Aussies bettered Great Britain’s gold medal winning time at London 2012, they were no match for the class of 2016, who eclipsed their own world record with a time of 3:50.265, equating to an average of 62.356 km/h over the four-kilometre standing-start race. As irreverent as ever, Wiggins stuck his tongue out on the podium, much to the amusement of his team-mates, and raised the fingers on his right hand to signify his five golds and five Olympic appearances.







"
Tennis,athens-2004,doubles men,Men,GOLD,GameTeam,Chile team,https://olympics.com/en/athletes/nicolas-massu,Nicolas MASSU,Chile,CL,CHI,3.0,Sydney 2000,1979.0,"


2

G

","


At Athens 2004, Nicolás Massú claimed double gold in the men’s singles and doubles (with Fernando González) to secure Chile’s only two Olympic titles to date.


Doubles with González


On Saturday 21 August 2004, on the hard court of the Olympic Tennis Centre in the northern Athens suburb of Maroussi, the Chilean pair of Nicolás Massú and Fernando González took on Germany’s Nicolas Kiefer and Rainer Schüttler in the men’s doubles tennis final. To reach the showpiece match they had pulled off a surprise 7-5, 6-4 victory over American top seeds Bob and Mike Bryan in the quarter-finals. The gold medal duel would go down in tennis folklore, with Massú and González saving four match points in the fourth set to eventually clinch victory in the fifth (6-2, 4-6, 3-6, 7-6 (9-7), 6-4), providing Chile with its first ever Olympic champions in the process.


Happy days


Just 24 hours later, Massú was back on court in the singles final, with only hard court specialist Mardy Fish (USA) standing between him and a second gold. On his way to the final, the South American had beaten Gustavo Kuerten (BRA), Vincent Spadea (USA), Igor Andreev (RUS), world number four Carlos Moya (ESP), and Taylor Dent (USA). Massú clinched the title, but not before engaging in another pulsating contest, finally overcoming the big-serving American 6-3, 3-6, 2-6, 6-3, 6-4. “Being here, fighting for a medal and winning gold – all of this is amazing. It’s obviously the happiest day of my career. I suspect that playing tennis all week, winning two medals and making history for your country would be a dream for anyone,” stated the champion, who, with his doubles partner González, remains Chile’s only Olympic title winner.


Doing it the hard way


Massú’s game, which is based on a solid forehand, an accurate backhand and an ability to defend as well as attack from the baseline, is generally better suited to clay courts. It is on that surface that he has obtained his best results on the ATP Tour, triumphing in six tournaments between 2002 and 2006. It made his two Olympic successes all the more remarkable, given that they came on a hard court surface known as DecoTurf. “I was so happy; it will always be my greatest sporting memory. When I look back in 10 years’ time, and then in another 10 years, that’s what I’ll remember, and it’ll make me happy again,” mused the hero of Athens.







"
Canoe Slalom,athens-2004,C2 canoe double men,Men,GOLD,GameTeam,Slovakia team,https://olympics.com/en/athletes/pavol-hochschorner,Pavol HOCHSCHORNER,Slovakia,SK,SVK,4.0,Sydney 2000,1979.0,"


3

G



1

B

","


Slovakian twin brothers Pavol and Peter Hochschorner won three consecutive Olympic gold medals in the C-2 canoe double competition between 2000 and 2008. They are determined to make up for the disappointment of London 2012 – where they had to make do with bronze – by adding to their golden haul at Rio 2016.


Canoeing pedigree


Peter and Pavol Hochschorner were born into a family of canoeing enthusiasts in Bratislava (SVK); their father, who is also their coach, and mother had both represented Czechoslovakia in the slalom, while their sister, who works as their manager, has competed in sprint events for Slovakia. In fact, it was in that discipline that the twins initially took to the water, before opting for the intensity of whitewater slaloming. 





“We have never raced with anyone else, so we have built up our own communication,” Peter explained at London 2012. “Most of the time we are just synchronised.”


Glory in Sydney


As they prepared for the final of the Olympic men’s slalom C-2 competition on 20 September 2000 at Penrith Whitewater Stadium near Sydney, Pavol and Peter, both 21, were in a confident mood, having previously been twice crowned European champions (in 1998 and 2000) and having won a silver medal at the 1999 ICF Canoe Slalom World Championships.


The brothers proceeded to produce two excellent runs, particularly second time out, where their coordination and fluidity were on full display in a faultless performance. With the two fastest times, they claimed their first Olympic title, finishing comfortably ahead of Krzysztof Kołomański and Michał Staniszewski (POL). 


In the years between Sydney 2000 and Athens 2004, they continued to achieve striking results, amassing victories in several ICF Canoe Slalom World Cups, the 2002 ECA European Championships and the 2002 World Championships.


Gold in Athens and Beijing


On 19 August 2004 at the Hellenikon Olympic Complex to the south of Athens, Pavol and Peter put in a series of marvellous displays, impressing the watching public by posting the fastest times of the preliminary round, semi-final and final. 


Further successes followed in the World Cup, European Championships and World Championships (in 2007 and 2009), and in the 2008 Olympic Winter Games in Beijing. In the Shunyi Olympic Rowing-Canoeing Park, they again emerged from the qualifying round with the best time, but they fell to second position after their semi-final run. On 15 August, however, the Hochschorners surged to a third successive Olympic victory, becoming the first competitors to achieve such a feat in the C-2 category.


London letdown


During the London Games in 2012, the dominant Slovakian pair were taken by surprise by the potency of the challenges provided by the British duos of Timothy Baillie/Etienne Stott and David Florence/Richard Hounslow at the Lee Valley White Water Centre, and were forced to settle for the bronze medal after incurring a two-second penalty for hitting a slalom gate. 


“It was a horrible sensation in London, as we didn’t perform well and we knew that one penalty could cost us a place on the podium,” said Peter. “But in the end, we were happy to have won a medal for Slovakia.”


Focus on Rio


The nine-time European champions and six-time world champions, who boast eight other medals at the Worlds and have topped the overall World Cup standings a record 10 times, will go in search of a fifth Olympic medal in Rio de Janeiro in 2016, when they will be 36 years of age. 


“The domestic qualifiers for the Rio Games will be very intense, as we have many talented Slovakian canoeists,” said Pavol. “Once we have guaranteed our place, it would be great to win gold again. There’s a series of young competitors in our category and it will be interesting to face them. We will try to make our experience count.”


More





"
Canoe Slalom,athens-2004,C2 canoe double men,Men,GOLD,GameTeam,Slovakia team,https://olympics.com/en/athletes/peter-hochschorner,Peter HOCHSCHORNER,Slovakia,SK,SVK,4.0,Sydney 2000,1979.0,"


3

G



1

B

","


Slovakian twin brothers Pavol and Peter Hochschorner won three consecutive Olympic gold medals in the C-2 canoe double competition between 2000 and 2008. They are determined to make up for the disappointment of London 2012 – where they had to make do with bronze – by adding to their golden haul at Rio 2016.


Canoeing pedigree


Peter and Pavol Hochschorner were born into a family of canoeing enthusiasts in Bratislava (SVK); their father, who is also their coach, and mother had both represented Czechoslovakia in the slalom, while their sister, who works as their manager, has competed in sprint events for Slovakia. In fact, it was in that discipline that the twins initially took to the water, before opting for the intensity of whitewater slaloming. 


“We have never raced with anyone else, so we have built up our own communication,” Peter explained at London 2012. “Most of the time we are just synchronised.”


Glory in Sydney


As they prepared for the final of the Olympic men’s slalom C-2 competition on 20 September 2000 at Penrith Whitewater Stadium near Sydney, Pavol and Peter, both 21, were in a confident mood, having previously been twice crowned European champions (in 1998 and 2000) and having won a silver medal at the 1999 ICF Canoe Slalom World Championships.


The brothers proceeded to produce two excellent runs, particularly second time out, where their coordination and fluidity were on full display in a faultless performance. With the two fastest times, they claimed their first Olympic title, finishing comfortably ahead of Krzysztof Kołomański and Michał Staniszewski (POL). 


In the years between Sydney 2000 and Athens 2004, they continued to achieve striking results, amassing victories in several ICF Canoe Slalom World Cups, the 2002 ECA European Championships and the 2002 World Championships.


Gold in Athens and Beijing


On 19 August 2004 at the Hellenikon Olympic Complex to the south of Athens, Pavol and Peter put in a series of marvellous displays, impressing the watching public by posting the fastest times of the preliminary round, semi-final and final.


Further successes followed in the World Cup, European Championships and World Championships (in 2007 and 2009), and in the 2008 Olympic Winter Games in Beijing. In the Shunyi Olympic Rowing-Canoeing Park, they again emerged from the qualifying round with the best time, but they fell to second position after their semi-final run. On 15 August, however, the Hochschorners surged to a third successive Olympic victory, becoming the first competitors to achieve such a feat in the C-2 category.


London letdown


During the London Games in 2012, the dominant Slovakian pair were taken by surprise by the potency of the challenges provided by the British duos of Timothy Baillie/Etienne Stott and David Florence/Richard Hounslow at the Lee Valley White Water Centre, and were forced to settle for the bronze medal after incurring a two-second penalty for hitting a slalom gate. 


“It was a horrible sensation in London, as we didn’t perform well and we knew that one penalty could cost us a place on the podium,” said Peter. “But in the end, we were happy to have won a medal for Slovakia.”


Focus on Rio


The nine-time European champions and six-time world champions, who boast eight other medals at the Worlds and have topped the overall World Cup standings a record 10 times, will go in search of a fifth Olympic medal in Rio de Janeiro in 2016, when they will be 36 years of age.


“The domestic qualifiers for the Rio Games will be very intense, as we have many talented Slovakian canoeists,” said Pavol. “Once we have guaranteed our place, it would be great to win gold again. There’s a series of young competitors in our category and it will be interesting to face them. We will try to make our experience count.”







"
Canoe Slalom,athens-2004,C2 canoe double men,Men,SILVER,GameTeam,Germany team #1,https://olympics.com/en/athletes/stefan-henze,Stefan HENZE,Germany,DE,GER,1.0,Athens 2004,1981.0,"


1

S

","


Stefan Henze was a whitewater canoeist who won a silver medal with Marcus Becker in the Canadian doubles at the 2004 Athina Olympics. In 2003 both became World Champions and in 2008 Henze was team European Champion. He came from a canoeing family, as his father Jürgen and brother Frank were also whitewater paddlers. His father was his first coach in Stefan’s active career. After the 2008 Europeans Henze and Becker did not manage to qualify for London 2012, and they then started a coaching career, training Melanie Pfeifer at the 2016 Rio Olympics. Both belonged to the national coaching stuff of the German Olympic whitewater canoe team.


On 12 August 2016, early in the morning, Henze took a taxi together with sports scientist Christian Käding to drive to the Olympic Village in Rio de Janeiro. The taxi crashed and Henze suffered severe head injuries, which German Olympic chief physician Bernd Wolfarth described as life-threatening. Henze died only three days later, on 15 August, aged only 35 years. An organ donor, his heart, liver, and kidneys went on to save the lives of four other people.





"
Badminton,athens-2004,Doubles mixed,Mixed,GOLD,GameTeam,People's Republic of China team #2,https://olympics.com/en/athletes/ling-gao,Ling GAO,People's Republic of China,CN,CHN,3.0,Sydney 2000,1979.0,"


2

G



1

S



1

B

","


Gao Ling counts as one of the top doubles players of the first decade of the 21st century. Débuting in the Chinese national team in 1997 after winning a junior world title, she has won every title available in the sport. At the Olympics, she won back-to-back mixed doubles titles (2000, 2004), both times partnering Zhang Jun. She was only slightly less successful in the women's doubles, finishing third in 2000 (with Qin Yiyuan) and second in 2004 (with Huang Sui), both times losing to a fellow Chinese double. Hoping for a final gold at the home Olympics in Beijing, the second-seeded Ling and her new mix partner Zheng Bo were upset in the first round by the British couple Gail Emms and Nathan Robertson. Gao has also earned four world titles, winning the women's doubles in 2001, 2003 and 2006 (all with Huang), while winning the mixed doubles in 2001 with Zhang. Additionally, she has won four silver and one bronze medals. With the dominant Chinese team, Gao also earned numerous team titles, including five consecutive Uber Cups (2000, 2002, 2004, 2006, 2008) and three Sudirman Cups (2001, 2005, 2007). With a total of 11 wins (6 in women's doubles, 5 in mixed), Ling is also one of the most successful female doubles players at the All-England Championships, with only Betty Uber (namegiver of the Uber Cup) having won more. In 2009, she played her last tournament, shortly before getting married.





"
Badminton,athens-2004,doubles women,Women,SILVER,GameTeam,People's Republic of China team,https://olympics.com/en/athletes/ling-gao,Ling GAO,People's Republic of China,CN,CHN,3.0,Sydney 2000,1979.0,"


2

G



1

S



1

B

","


Gao Ling counts as one of the top doubles players of the first decade of the 21st century. Débuting in the Chinese national team in 1997 after winning a junior world title, she has won every title available in the sport. At the Olympics, she won back-to-back mixed doubles titles (2000, 2004), both times partnering Zhang Jun. She was only slightly less successful in the women's doubles, finishing third in 2000 (with Qin Yiyuan) and second in 2004 (with Huang Sui), both times losing to a fellow Chinese double. Hoping for a final gold at the home Olympics in Beijing, the second-seeded Ling and her new mix partner Zheng Bo were upset in the first round by the British couple Gail Emms and Nathan Robertson. Gao has also earned four world titles, winning the women's doubles in 2001, 2003 and 2006 (all with Huang), while winning the mixed doubles in 2001 with Zhang. Additionally, she has won four silver and one bronze medals. With the dominant Chinese team, Gao also earned numerous team titles, including five consecutive Uber Cups (2000, 2002, 2004, 2006, 2008) and three Sudirman Cups (2001, 2005, 2007). With a total of 11 wins (6 in women's doubles, 5 in mixed), Ling is also one of the most successful female doubles players at the All-England Championships, with only Betty Uber (namegiver of the Uber Cup) having won more. In 2009, she played her last tournament, shortly before getting married.





"
Beach Volleyball,athens-2004,Beach volleyball women,Women,GOLD,GameTeam,United States team #1,https://olympics.com/en/athletes/kerri-walsh,Kerri WALSH JENNINGS,United States of America,US,USA,5.0,Sydney 2000,1978.0,"


3

G



1

B

","


Nicknamed “Six Feet of Sunshine”, Kerri Walsh-Jennings formed part of the greatest pairing beach volleyball has ever seen, teaming up with Misty May-Treanor to win three Olympic gold medals and three world titles and go unbeaten for a remarkable 112 games. On returning to the Olympic stage at Rio 2016 with a new partner, April Ross, she won bronze at the age of 37. 





An Olympic debut, indoors 


Born in California, Kerri Walsh was an exceptionally talented college volleyball player, helping Stanford University win the 1996 and 1997 NCAA titles and being named MVP in both finals, against Hawai’i and Penn State respectively. She was also only the second college volleyball player in history to feature in the All-American first-team four years in a row.


Walsh was only 22 when she made her Olympic debut, at Sydney 2000, with the USA volleyball team. Beaten in five sets by Russia in the semi-finals, the Americans finished out of the medals after losing to Brazil in the match for third place. Though Walsh had already begun suffering the shoulder problems that would dog her throughout her career, her ailment did lead her to improve her tactical understanding and reading of the game and enhance her sense of positioning. 





The greatest pairing of all time 


Also competing for the USA at Sydney 2000 was Misty May-Treanor, who partnered Holly McPeak in beach volleyball, with the pair ending the competition in fifth place. After the Games, May-Treanor invited Walsh to join her, setting the wheels in motion for what would become the most successful tandem in the history of women’s beach volleyball. 


May and Walsh began their long reign on the domestic and global scenes in 2001, going on to dominate proceedings on the U.S. professional tour and at the Olympics and FIVB World Championships. Unbeaten in 90 matches when they arrived at Athens 2004, the USA duo swept all before them at the Faliro Olympic Beach Volleyball Centre, winning every match in straight sets and crowning their majestic run by defeating Shelda Bede and Adriana Behar 21-17, 21-11 in the final. 


World champions in 2003, 2005 and 2007, May and Walsh were on a 101-match and 18-tournament winning streak when they began their Olympic title defence at Beijing 2008. After cruising through to the final, they beat China’s No1-ranked Tian Jia and Wang Jie in two sets to retain the gold. They eventually took that unbeaten run to 112 matches.


Threepeat at London 2012 


Walsh, who married fellow beach volleyball player Casey Jennings in 2005 and had two children in the years after Beijing, was back on the sand with May-Treanor in 2011, with the pair setting their sights on a third straight gold at London 2012. 


It duly came their way on the court on Horse Guards Parade, where the two Californians saw off April Ross and Jennifer Kessy in two sets in the final. May-Treanor promptly announced her retirement, having played her part in 21 consecutive wins at the Olympics since 2004, a run in which the fabled American pair lost just one set, against Austria’s Schwaiger sisters in the preliminary round in London. 


Five Games, four medals


Walsh-Jennings invited Ross to be her new playing partner, before giving birth to a third child in 2013. On returning to competitive action, she and Ross nailed down a place at Rio 2016, where she would go in search of a fourth Olympic title at her fifth Games, at the age of 38. 


The American pair made it to the semi-finals, where they went down 22-20, 21-18 to Agatha Bednarczuk and Barbara Seixas de Freitas, the only defeat Walsh-Jennings ever suffered in her entire Olympic beach volleyball career. Atoning for that reverse, she and Ross then secured bronze with a three-set win over Brazil’s world-No1 pair Larissa Franca and Talita Antunes.


                                    “As an athlete, I swear this is the hardest match I’ve ever played in my life,” Walsh-Jennings said afterwards. “It was all perseverance.” The effort was worth it. In winning her fourth Olympic medal, the American became the most decorated beach volleyball player in the history of the Games.





"
